Lot_Area,Central_Air,SalePrice,Sq_ft,Has_Garage,Large_Lot,Finished_Basement
7008,1,86900,1168.0,1,0,0
12160,1,149500,3010.0,1,1,1
6305,1,119750,1874.0,1,0,0
8846,1,173900,2250.0,1,0,0
10659,1,136500,2100.0,1,0,1
13108,1,270000,4749.0,1,1,0
13500,1,235000,2854.0,1,1,1
7750,1,156000,1814.0,1,0,0
12450,1,153000,2228.0,1,1,1
4500,1,165000,2448.0,1,0,1
11198,1,325000,3626.0,1,0,0
6221,1,140000,2083.0,1,0,1
13200,1,202500,3035.0,1,1,1
8769,1,367294,3404.0,1,0,1
10200,1,175000,2970.0,1,0,1
9550,1,140000,2473.0,1,0,1
10331,1,174000,2505.0,1,0,1
9587,1,190000,2022.0,1,0,1
9900,1,129000,1968.0,0,0,0
22002,1,200000,3244.0,1,1,1
13000,1,193500,3038.0,1,1,1
8250,1,145000,2184.0,1,0,1
8170,1,218000,2693.0,1,0,1
12048,1,135000,1488.0,1,1,0
10858,1,146500,3068.0,1,0,1
7577,1,194700,2724.0,1,0,1
7500,1,230348,2436.0,1,0,1
6120,1,109500,2192.0,1,0,1
23580,1,242500,3250.0,1,1,1
5306,1,239000,2831.0,1,0,1
8092,1,156000,2100.0,1,0,1
8593,1,109008,1814.0,1,0,1
11067,1,68104,640.0,1,0,0
11929,1,290000,3743.0,1,0,0
9900,1,159000,2418.0,1,0,1
4882,1,87000,1254.0,1,0,1
11423,1,272000,3182.0,1,0,1
8772,1,198000,2672.0,1,0,1
7628,1,119164,2457.0,1,0,0
8335,1,93000,1124.0,0,0,0
8220,1,226750,2874.0,1,0,1
10615,1,95000,2677.0,1,0,1
6000,1,139900,2196.0,1,0,1
5350,1,76500,2034.0,0,0,0
5400,1,86900,1344.0,1,0,0
17979,1,152500,2273.0,1,1,1
9520,1,99000,1841.0,1,0,1
5330,1,82500,1128.0,0,0,1
8012,1,179200,3150.0,1,0,1
9000,1,142500,2118.0,1,0,1
14299,1,115400,2010.0,1,1,1
7050,1,226000,2986.0,1,0,1
3180,1,144152,1720.0,1,0,0
16451,1,370000,4455.0,1,1,0
12887,1,149900,1666.0,1,1,1
15578,1,172785,2184.0,1,1,0
7200,1,129000,1728.0,1,0,1
17043,1,181000,2948.0,1,1,0
10000,1,148000,2428.0,1,0,1
8050,1,117250,1828.0,0,0,1
3182,1,192500,2928.0,1,0,1
1950,1,151000,2272.0,1,0,1
7700,1,112500,1764.0,1,0,1
8731,1,144000,2082.0,1,0,1
8232,1,370967,3600.0,1,0,1
2280,1,149900,2311.0,1,0,1
8935,1,195000,2491.0,1,0,0
9125,1,163900,1866.0,1,0,0
11075,1,182000,2712.0,1,0,1
13438,1,410000,4226.0,1,1,1
11070,1,152000,3177.0,1,0,1
7800,1,184000,2577.0,1,0,0
7060,1,206300,2688.0,1,0,1
11836,1,146500,3304.0,1,0,1
8382,1,108000,2169.0,1,0,0
10192,1,170000,2490.0,1,0,0
4426,1,145000,1696.0,1,0,1
2280,1,123000,2112.0,1,0,1
2887,1,173000,2582.0,1,0,1
8520,1,105900,1344.0,1,0,0
1596,1,91000,1450.0,1,0,1
15600,0,158000,2590.0,1,1,1
9313,1,190000,2592.0,1,0,0
11064,1,217500,2469.0,1,0,1
9000,1,165500,3106.0,1,0,1
12000,1,174500,2268.0,1,0,1
7692,1,100000,1620.0,1,0,0
14267,1,172000,2658.0,1,1,1
9675,1,120000,1743.0,1,0,1
8400,1,82000,1562.0,1,0,0
7500,1,127000,2096.0,1,0,0
9600,0,129500,2793.0,1,0,1
5814,1,187500,2580.0,1,0,1
14860,1,300000,3564.0,1,1,1
14803,1,190000,2818.0,1,1,1
7550,0,96000,2313.0,1,0,0
8125,1,241000,2642.0,1,0,1
13673,1,143900,2836.0,1,1,0
1533,1,87550,1638.0,1,0,1
7658,1,319900,3504.0,1,0,1
12292,1,356383,3567.0,1,1,1
11923,1,239000,3600.0,1,0,0
10010,1,287500,3277.0,1,0,1
12358,1,128500,1574.0,1,1,1
8577,1,185088,2580.0,1,0,0
8640,1,229800,2804.0,1,0,0
10447,1,124500,1751.0,1,0,1
9600,1,142000,2102.0,1,0,1
4899,1,149000,2265.0,1,0,1
9246,1,135000,3312.0,1,0,0
4928,1,128000,2036.0,1,0,1
12692,1,430000,6428.0,1,1,1
7476,1,145000,2080.0,1,0,1
5362,1,139000,1911.0,1,0,0
12090,1,178000,2453.0,1,1,0
12539,1,460000,4410.0,1,1,1
11888,0,214500,2978.0,1,0,0
7082,1,160000,2614.0,0,0,0
8755,1,214000,3052.0,1,0,1
4080,1,128900,2279.0,1,0,0
32463,1,168000,2871.0,1,1,1
12217,1,310013,2835.0,1,1,1
3696,1,170000,2162.0,1,0,0
7560,1,133700,2080.0,1,0,1
10592,1,165000,2104.0,1,0,0
1680,1,89500,1470.0,1,0,1
10382,1,140000,1683.0,1,0,1
2522,1,134000,2679.0,1,0,0
9370,1,248500,2567.0,1,0,1
10246,1,145000,1608.0,1,0,1
11475,1,179900,2265.0,1,0,1
9986,1,147000,3590.0,1,0,0
10475,1,136000,1898.0,1,0,1
6000,1,128000,1768.0,1,0,1
4280,1,88750,1264.0,1,0,0
10895,1,122500,1944.0,1,0,1
17503,1,97500,2370.0,1,1,0
9723,1,135000,2016.0,1,0,0
11694,1,314813,3650.0,1,0,1
8470,0,85000,2026.0,0,0,0
6000,1,134900,1874.0,1,0,0
10519,1,137000,2114.0,1,0,0
10437,1,350000,4222.0,1,0,1
7514,1,145000,2330.0,1,0,1
13654,1,418000,4462.0,1,1,0
5747,1,64000,1638.0,1,0,0
4500,1,159434,2313.0,1,0,1
11830,1,260261,3084.0,1,0,1
8520,1,166000,2295.0,1,0,1
6760,1,130000,1832.0,1,0,1
6191,0,112000,2112.0,1,0,1
8700,1,155000,2248.0,1,0,1
12003,1,269500,2742.0,1,1,0
12700,1,172000,2492.0,1,1,1
13125,1,219500,2540.0,1,1,1
8638,1,133500,1850.0,1,0,1
9967,1,170000,1814.0,1,0,0
9600,0,150000,2496.0,1,0,0
12774,0,130000,1934.0,1,1,1
8163,1,143000,2288.0,1,0,1
9900,1,140000,2228.0,1,0,0
13651,1,244000,4446.0,1,1,1
7200,0,101000,1641.0,1,0,0
9750,1,125000,1920.0,1,0,0
11184,1,183000,2565.0,1,0,0
5520,1,104000,2613.0,0,0,0
6390,1,112500,1920.0,1,0,0
10240,1,207500,3372.0,1,0,1
9316,1,225000,3228.0,1,0,1
7200,1,119900,1728.0,1,0,1
12228,1,293000,3461.0,1,1,0
10335,1,180000,3182.0,1,0,1
12328,1,169900,2046.0,1,1,1
8930,1,112000,1902.0,1,0,0
9672,1,152000,2137.0,1,0,1
13975,1,300000,3296.0,1,1,0
7819,1,107000,2146.0,1,0,1
11340,1,122500,3067.0,1,0,0
1680,1,89000,1431.0,1,0,1
6001,0,95000,1519.0,1,0,1
11700,1,143450,2064.0,1,0,0
12858,1,376162,3924.0,1,1,0
9300,1,167500,2532.0,1,0,1
7018,1,153337,2310.0,1,0,1
6629,0,103600,2041.0,1,0,1
10650,1,128200,1788.0,1,0,1
2117,1,177500,2329.0,1,0,1
13650,1,320000,3921.0,1,1,1
8433,1,190000,2308.0,1,0,1
1680,1,91500,1890.0,0,0,0
6000,1,93000,2198.0,1,0,0
8500,0,40000,1966.0,1,0,0
6882,1,127000,2039.0,0,0,0
8712,1,50138,1708.0,1,0,0
7917,1,148000,2256.0,1,0,1
6900,1,120500,1518.0,1,0,1
9900,1,139500,2267.0,1,0,0
13286,1,320000,3396.0,1,1,1
12888,1,219000,3272.0,1,1,1
8885,1,131000,1766.0,1,0,1
8857,1,171925,2233.0,1,0,0
14137,1,177900,2732.0,1,1,1
6720,0,141500,2021.0,1,0,0
7500,1,191000,2588.0,1,0,1
13072,1,158000,2316.0,1,1,1
10656,1,248900,3284.0,1,0,0
7200,1,175000,2499.0,1,0,1
8800,1,185900,2752.0,1,0,1
10800,0,163000,2648.0,1,0,1
9000,0,115000,2056.0,0,0,0
13014,1,157500,2104.0,1,1,1
15896,1,245000,3489.0,1,1,1
5395,1,180000,2674.0,1,0,1
5105,1,148800,1653.0,1,0,1
9473,1,237000,3159.0,1,0,1
8400,0,60000,728.0,1,0,1
12102,1,165000,1489.0,1,1,1
10905,1,240000,3456.0,1,0,0
9556,1,160000,2355.0,1,0,0
6430,0,128000,2120.0,1,0,1
6040,0,82000,1152.0,0,0,0
14695,1,256000,3129.0,1,1,1
9000,1,143000,2132.0,1,0,1
8368,1,231713,3378.0,1,0,0
41600,1,155000,2524.0,1,1,1
6490,1,128500,1632.0,1,0,1
7290,1,168000,2652.0,1,0,0
7472,1,184000,2204.0,1,0,1
7000,1,124000,2050.0,0,0,1
11717,1,185000,2884.0,1,0,0
11194,1,230500,3342.0,1,0,0
11250,1,227000,2993.0,1,0,1
8633,1,173500,2214.0,1,0,1
8400,1,140000,1731.0,1,0,1
10037,1,247000,2920.0,1,0,1
8014,1,149900,1490.0,1,0,1
12250,1,158000,2038.0,1,1,1
2403,1,147110,1610.0,1,0,1
8600,1,119500,2156.0,1,0,0
13680,1,205000,2407.0,1,1,1
10800,1,148000,2270.0,0,0,0
5389,1,236500,3211.0,1,0,1
10890,1,137000,2609.0,1,0,1
9768,1,122000,1920.0,1,0,1
8993,1,176485,2604.0,1,0,0
11672,1,109000,1632.0,1,0,0
9763,1,330000,3004.0,1,0,1
9836,0,143000,1325.0,1,0,1
10557,1,410000,4486.0,1,0,1
8462,1,201000,2649.0,1,0,1
10818,1,80000,2837.0,1,0,0
7259,1,259500,3348.0,1,0,1
11800,1,279900,3608.0,1,0,1
7500,1,154000,2492.0,1,0,1
6488,0,128000,1949.0,1,0,1
14230,1,256300,3166.0,1,1,0
7810,1,188000,2685.0,1,0,1
14331,1,312500,3600.0,1,1,1
3182,1,151000,1800.0,1,0,0
1920,1,122500,2130.0,1,0,1
10110,1,188000,2531.0,1,0,1
10984,1,209700,2754.0,1,0,0
14082,1,441929,4454.0,1,1,1
8480,1,163000,2566.0,1,0,1
12205,1,187500,2919.0,1,1,1
15750,1,220000,2975.0,1,1,1
8050,1,127000,2056.0,1,0,1
7200,1,107500,827.0,1,0,0
6300,1,128000,2226.0,0,0,0
5232,0,73000,1444.0,1,0,0
11846,1,374000,3584.0,1,0,1
16900,1,421250,4128.0,1,1,1
9636,1,178000,2401.0,1,0,0
10012,1,137500,2319.0,1,0,1
14303,1,301500,3973.0,1,1,1
5707,1,105000,1825.0,1,0,0
9360,1,157500,1952.0,1,0,1
5680,0,117000,2183.0,1,0,0
7000,1,105000,1728.0,1,0,1
10480,1,115000,2230.0,1,0,0
11578,1,360000,3472.0,1,0,0
7018,1,118858,1535.0,1,0,0
9130,1,173000,2432.0,1,0,1
10800,1,78500,1355.0,1,0,0
8244,1,183500,2560.0,1,0,0
6000,0,93000,1872.0,1,0,0
3621,1,226500,2995.0,1,0,1
7837,1,178000,2370.0,1,0,0
10665,1,226000,2932.0,1,0,1
10457,1,173000,2416.0,1,0,1
8281,1,62383,1728.0,1,0,1
14948,1,446261,4165.0,1,1,1
7000,1,160000,2103.0,1,0,1
3940,1,219990,2969.0,1,0,1
9382,1,191000,2947.0,1,0,0
6854,0,136500,1816.0,1,0,1
11515,0,80000,943.0,1,0,0
13837,1,229000,3387.0,1,1,1
9938,1,236000,2999.0,1,0,1
12633,1,392000,3648.0,1,1,0
6876,1,149000,2650.0,1,0,1
3951,1,345000,3363.0,1,0,1
9856,1,169000,2730.0,1,0,0
17808,0,109900,1726.0,1,1,0
9627,1,188000,2996.0,1,0,1
6000,1,132500,2192.0,1,0,0
9757,1,143000,1980.0,1,0,1
9280,1,125000,2684.0,1,0,1
14780,1,415000,3736.0,1,1,1
7740,1,125500,1985.0,1,0,0
9600,1,139000,2872.0,1,0,1
13478,1,451950,4018.0,1,1,1
10926,1,119900,3356.0,0,0,0
6853,1,220000,2563.0,1,0,1
10667,1,167300,3174.0,1,0,1
8212,1,122000,2018.0,1,0,1
9100,1,125000,3456.0,1,0,1
6000,1,112500,1856.0,1,0,1
9316,1,191000,2674.0,1,0,0
9464,1,136000,2160.0,1,0,1
10400,1,197900,2645.0,1,0,0
5310,1,117000,2120.0,1,0,0
7406,1,194000,2419.0,1,0,1
4538,1,285000,2620.0,1,0,1
10106,1,127500,1999.0,0,0,1
13346,1,268000,3390.0,1,1,1
9639,1,137000,2873.0,1,0,0
15387,1,215000,3240.0,1,1,1
10050,1,129500,2432.0,1,0,1
6240,1,115000,2240.0,1,0,0
7506,1,114000,1906.0,1,0,0
8900,1,107000,2112.0,1,0,1
8480,1,118500,2048.0,1,0,1
6000,1,120000,2020.0,1,0,0
8847,1,260000,3076.0,1,0,1
8050,1,136000,2286.0,1,0,1
8294,1,123000,1730.0,1,0,0
7920,1,89500,1725.0,0,0,0
18494,1,199500,2648.0,1,1,0
7162,1,109900,1780.0,1,0,0
10918,1,234000,3356.0,1,0,0
4435,1,155900,1696.0,1,0,1
11250,1,161500,2892.0,1,0,0
14375,1,137500,2163.0,1,1,1
9045,0,76500,3096.0,0,0,0
10029,1,211000,3211.0,1,0,1
4060,1,181000,2742.0,1,0,1
9020,1,174900,2292.0,1,0,1
11777,1,164500,2484.0,1,0,1
10171,1,214000,3052.0,1,0,1
10400,1,185000,2782.0,1,0,0
6240,1,123000,1840.0,1,0,1
12150,1,183500,2300.0,1,1,1
2645,1,174000,2217.0,1,0,0
22692,1,130000,2703.0,1,1,1
9600,1,178000,2369.0,1,0,1
13830,1,189900,2557.0,1,1,1
4435,1,144000,1696.0,1,0,1
5890,1,120500,1632.0,1,0,1
10859,1,145000,2194.0,1,0,0
5330,1,251000,3146.0,1,0,1
10778,0,136500,3536.0,0,0,0
6845,0,82500,1152.0,0,0,0
21780,0,57625,810.0,1,1,0
10307,1,212500,2708.0,1,0,1
4500,1,164000,2432.0,1,0,1
9060,1,139000,2605.0,1,0,0
2160,1,160000,1852.0,1,0,1
7669,1,149000,1711.0,1,0,1
9858,1,130000,1738.0,1,0,1
10300,1,140000,2286.0,1,0,0
8125,1,264500,3672.0,1,0,0
14850,1,141000,2184.0,1,1,1
4274,1,199900,2482.0,1,0,1
9650,1,167900,2684.0,1,0,1
14585,1,181900,2573.0,1,1,1
9000,1,262500,3132.0,1,0,1
13774,1,230000,3196.0,1,1,1
5119,1,328900,3407.0,1,0,1
9254,1,232698,3442.0,1,0,1
10324,1,221800,2508.0,1,0,1
8375,1,152400,1926.0,1,0,1
9750,1,213000,3260.0,1,0,0
7632,1,184900,2369.0,1,0,0
15750,1,157000,2501.0,1,1,1
9240,1,144000,2075.0,1,0,1
10400,1,192350,2612.0,1,0,1
8800,1,163500,2374.0,1,0,1
11839,1,262280,3804.0,1,0,1
9135,1,214000,3072.0,1,0,1
14115,1,230000,2884.0,1,1,1
14154,1,280000,3235.0,1,1,0
6565,1,140000,2146.0,1,0,1
7700,1,155000,2595.0,1,0,0
4761,0,64500,2040.0,0,0,0
12361,1,218000,2748.0,1,1,1
9720,1,160000,2004.0,1,0,1
8640,1,208900,2676.0,1,0,1
47007,1,284700,3820.0,1,1,0
3180,1,146000,2081.0,1,0,0
14963,1,245500,2548.0,1,1,1
5000,1,113000,2005.0,1,0,0
16870,1,296000,3564.0,1,1,1
14157,1,377426,3844.0,1,1,1
12456,1,337500,3418.0,1,1,1
14836,1,552000,4984.0,1,1,1
6956,1,97900,1560.0,1,0,0
7862,1,208300,2436.0,1,0,1
11050,1,213000,2730.0,1,0,0
8924,1,188000,2604.0,1,0,0
9610,1,162000,2457.0,1,0,1
13710,1,152000,2468.0,1,1,1
12552,1,254900,2938.0,1,1,1
14565,1,189000,2489.0,1,1,1
18559,1,235000,4112.0,1,1,1
10880,0,125000,2328.0,1,0,1
2280,1,120000,1672.0,1,0,0
31250,1,81500,1600.0,1,1,0
11841,1,118500,1632.0,0,0,1
9187,1,370878,3532.0,1,0,1
6270,0,145000,3003.0,1,0,1
15660,1,311500,2752.0,1,1,1
3087,1,210250,2584.0,1,0,1
13450,1,200000,2777.0,1,1,1
10125,1,126000,1734.0,1,0,0
8146,1,114000,1444.0,1,0,0
9600,1,87500,2187.0,1,0,0
12328,1,349265,3690.0,1,1,1
10141,1,203000,3024.0,1,0,1
8529,1,189000,2888.0,1,0,1
8127,1,209000,2465.0,1,0,1
8400,1,160000,2924.0,1,0,0
10751,1,129000,2074.0,1,0,1
10010,1,170000,2778.0,1,0,1
4280,0,90350,1134.0,1,0,1
9600,0,79000,1668.0,0,0,0
9800,1,149900,1788.0,1,0,1
7560,1,123000,1728.0,1,0,1
9600,0,87000,2869.0,1,0,0
9880,1,171000,2214.0,1,0,1
9600,1,119000,2284.0,1,0,1
7931,1,132500,2296.0,1,0,1
5100,1,161000,2254.0,1,0,0
9720,1,274000,3304.0,1,0,1
8521,1,125000,1824.0,1,0,1
8741,0,98500,2390.0,0,0,0
12461,1,262000,3248.0,1,1,1
6950,1,134900,1828.0,1,0,1
16905,1,170000,2678.0,1,1,1
7155,1,135000,2147.0,1,0,0
9205,1,290000,3613.0,1,0,1
7697,1,173500,2504.0,1,0,0
7800,1,225000,2904.0,1,0,1
14357,1,140500,2051.0,1,1,1
8775,1,126000,1980.0,1,0,1
2645,1,170000,2546.0,1,0,1
13568,1,156000,1980.0,1,1,1
16321,1,207500,3084.0,1,1,1
8640,1,255000,2688.0,1,0,1
1596,1,94900,1450.0,1,0,1
7315,1,140000,2340.0,1,0,1
7614,1,96900,2114.0,1,0,0
11000,1,154000,2308.0,1,0,1
10337,0,184900,2497.0,1,0,0
14803,1,385000,4162.0,1,1,1
8765,0,106500,1902.0,1,0,1
12720,1,327000,4142.0,1,1,1
11128,1,468000,4948.0,1,0,1
5160,1,135000,2870.0,1,0,0
13072,1,142500,2282.0,1,1,0
8814,1,141000,2196.0,1,0,1
7000,1,107500,2464.0,0,0,1
4484,0,108500,1954.0,1,0,1
9019,1,150000,1956.0,1,0,1
8520,0,78000,1152.0,0,0,0
11932,1,235128,3160.0,1,0,0
14330,1,163000,2422.0,1,1,1
8777,0,84900,640.0,1,0,0
2308,1,147000,2177.0,1,0,1
2500,1,155000,2736.0,1,0,1
8049,1,180000,2648.0,1,0,1
5600,0,55000,1092.0,0,0,0
9590,1,187500,2014.0,1,0,1
7200,1,125000,2166.0,1,0,1
11500,1,250000,3074.0,1,0,1
6756,0,78000,1380.0,1,0,0
11426,1,118000,2314.0,0,0,0
12030,1,318000,3388.0,1,1,0
9554,1,215000,2688.0,1,0,1
8534,0,72000,1104.0,0,0,0
11361,1,180000,2716.0,1,0,1
12416,1,184000,3257.0,1,1,1
9600,1,124500,2082.0,1,0,1
8267,1,135000,3208.0,1,0,0
6000,1,164900,2653.0,1,0,1
9600,1,140000,2328.0,1,0,0
7350,1,128000,2082.0,1,0,0
7703,1,153000,1484.0,1,0,1
4347,1,127500,2405.0,1,0,0
9600,1,141500,1909.0,1,0,1
12256,1,325000,4085.0,1,1,1
9547,1,188500,3188.0,1,0,0
7200,1,185000,2524.0,1,0,1
13072,1,146000,2350.0,0,1,1
3600,1,119000,1912.0,1,0,0
1680,1,112000,1932.0,1,0,0
3316,1,197000,2494.0,1,0,1
16387,1,412083,4327.0,1,1,1
13265,1,271000,3257.0,1,1,1
3242,1,200000,2810.0,1,0,1
8991,1,174000,2552.0,1,0,1
8000,1,156500,2754.0,1,0,1
9303,1,204000,2628.0,1,0,1
8544,1,149350,2456.0,1,0,0
11425,1,137000,2016.0,1,0,1
